Ticker,Ex_Date,Record_Date,Payment_Date,Amount_Per_Share,Currency
AAPL,2020-05-08,2020-05-11,2020-05-14,0.205,USD # Post 4-for-1 split effective Aug 2020, adjusted for display
AAPL,2020-08-07,2020-08-10,2020-08-13,0.205,USD
AAPL,2020-11-06,2020-11-09,2020-11-12,0.205,USD
MSFT,2020-02-19,2020-02-20,2020-03-12,0.51,USD
MSFT,2020-05-20,2020-05-21,2020-06-11,0.51,USD
MSFT,2020-08-19,2020-08-20,2020-09-10,0.56,USD
MSFT,2020-11-18,2020-11-19,2020-12-10,0.56,USD
JPM,2020-01-03,2020-01-06,2020-01-31,0.90,USD
JPM,2020-04-03,2020-04-06,2020-04-30,0.90,USD
JPM,2020-07-02,2020-07-06,2020-07-31,0.90,USD
JPM,2020-10-02,2020-10-05,2020-10-30,0.90,USD
AAPL,2021-02-05,2021-02-08,2021-02-11,0.205,USD
AAPL,2021-05-07,2021-05-10,2021-05-13,0.22,USD
AAPL,2021-08-06,2021-08-09,2021-08-12,0.22,USD
AAPL,2021-11-05,2021-11-08,2021-11-11,0.22,USD
MSFT,2021-02-17,2021-02-18,2021-03-11,0.56,USD
MSFT,2021-05-19,2021-05-20,2021-06-10,0.56,USD
MSFT,2021-08-18,2021-08-19,2021-09-09,0.62,USD
MSFT,2021-11-17,2021-11-18,2021-12-09,0.62,USD
AAPL,2022-02-04,2022-02-07,2022-02-10,0.22,USD
AAPL,2022-05-06,2022-05-09,2022-05-12,0.23,USD
AAPL,2022-08-05,2022-08-08,2022-08-11,0.23,USD
AAPL,2022-11-04,2022-11-07,2022-11-10,0.23,USD
MSFT,2022-02-16,2022-02-17,2022-03-10,0.62,USD
MSFT,2022-05-18,2022-05-19,2022-06-09,0.62,USD
MSFT,2022-08-17,2022-08-18,2022-09-08,0.68,USD
MSFT,2022-11-16,2022-11-17,2022-12-08,0.68,USD
AAPL,2023-02-10,2023-02-13,2023-02-16,0.23,USD
AAPL,2023-05-12,2023-05-15,2023-05-18,0.24,USD
AAPL,2023-08-11,2023-08-14,2023-08-17,0.24,USD
AAPL,2023-11-10,2023-11-13,2023-11-16,0.24,USD
MSFT,2023-02-15,2023-02-16,2023-03-09,0.68,USD
MSFT,2023-05-17,2023-05-18,2023-06-08,0.68,USD
MSFT,2023-08-16,2023-08-17,2023-09-14,0.75,USD
MSFT,2023-11-15,2023-11-16,2023-12-14,0.75,USD
JPM,2023-01-05,2023-01-06,2023-02-01,1.00,USD
JPM,2023-04-05,2023-04-06,2023-05-01,1.00,USD
JPM,2023-07-05,2023-07-06,2023-08-01,1.05,USD
JPM,2023-10-05,2023-10-06,2023-11-01,1.05,USD
HD,2023-02-01,2023-02-02,2023-02-23,2.09,USD # Example for HD
HD,2023-05-03,2023-05-04,2023-05-25,2.09,USD
CVX,2023-01-26,2023-01-27,2023-02-16,1.51,USD # Example for CVX
CVX,2023-04-27,2023-04-28,2023-05-18,1.51,USD
WMT,2023-01-05,2023-01-06,2023-02-02,0.57,USD # Example for WMT
WMT,2023-03-09,2023-03-10,2023-04-06,0.57,USD
# No dividends for GOOG, AMZN, TSLA, NVDA, ADBE, CRM, NEE, LIN, DIS (recently suspended), SPY (pays distributions, different mechanism)
# COST pays special dividends occasionally, not regular quarterly for this mock.
# BAC, V, MA, PFE, PEP, MRK, LLY, UNH also pay dividends, adding a few for 2023
BAC,2023-03-02,2023-03-03,2023-03-31,0.22,USD
V,2023-02-09,2023-02-10,2023-03-01,0.45,USD
MA,2023-01-25,2023-01-26,2023-02-09,0.57,USD
PFE,2023-01-26,2023-01-27,2023-03-03,0.41,USD
PEP,2023-03-02,2023-03-03,2023-03-31,1.15,USD
MRK,2023-03-14,2023-03-15,2023-04-03,0.73,USD
LLY,2023-02-14,2023-02-15,2023-03-10,1.13,USD
UNH,2023-03-09,2023-03-10,2023-03-21,1.88,USD
AAPL,2024-02-09,2024-02-12,2024-02-15,0.24,USD # Q1 2024
MSFT,2024-02-14,2024-02-15,2024-03-14,0.75,USD # Q1 2024
JPM,2024-01-04,2024-01-05,2024-02-01,1.05,USD # Q1 2024
JNJ,2024-02-22,2024-02-23,2024-03-07,1.19,USD # Q1 2024 (assuming increase)
XOM,2024-02-12,2024-02-13,2024-03-11,0.95,USD # Q1 2024 (assuming increase)
