Transaction_ID,Ticker,Transaction_Date,Insider_Name,Relationship,Transaction_Type,Shares_Traded,Price_Per_Share,Total_Value
57,TSLA,2020-11-16,"Robert Garcia","Chief People Officer",Sell,3657,29.52,107954.64
58,TSLA,2022-08-04,"Robert Garcia","EVP Operations",Sell,11031,326.64,3603016.44
59,TSLA,2022-03-28,"Robert Garcia","Director",Sell,1867,315.18,588438.06
60,TSLA,2022-10-20,"Robert Garcia","Director",Buy,1520,289.92,440678.40
61,TSLA,2023-08-22,"Robert Garcia","SVP Sales",Sell,15252,201.22,3069077.04
62,JPM,2021-02-22,"Jessica Martinez","Director",Sell,4136,156.10,645629.60
63,JPM,2022-05-01,"Michael Williams","10% Owner",Sell,2452,130.98,321169.96
64,JPM,2022-11-16,"Michael Williams","Director",Sell,19292,134.63,2597239.96
65,JPM,2023-03-06,"Jessica Martinez","CFO",Sell,2024,140.12,283588.48
66,JPM,2020-09-02,"Jessica Martinez","Director",Buy,2300,97.12,223376.00
67,JPM,2020-11-05,"Jessica Martinez","Director",Buy,2317,105.21,243774.57
68,JPM,2020-09-18,"Michael Williams","SVP Sales",Sell,17886,99.88,1786407.68
69,JPM,2021-05-27,"Michael Williams","CFO",Buy,3119,163.59,509997.21
70,JPM,2022-10-04,"Jessica Martinez","Director",Sell,11512,122.13,1405940.16
