Earning_ID,Ticker,Release_Timestamp,Fiscal_Quarter,EPS_Actual,EPS_Consensus,Revenue_Actual,Revenue_Consensus,Surprise_EPS,Surprise_Revenue_ZScore
59,MRK,2023-02-02T11:40:00Z,Q4 2022,1.62,1.54,13830000000,13670000000,0.08,0.3
60,LLY,2023-02-02T11:55:00Z,Q4 2022,2.09,1.78,7302000000,7330000000,0.31,0.0
61,SPY,N/A,N/A,,,,,,N/A
# ... (Entries for other tickers like AVGO, COST, CVX, ADBE, CRM, MCD, NEE, LIN, DIS, WMT for 2019-2023 would follow a similar pattern)
# For brevity, limiting total rows in this display. Full file would be larger.
# Adding one more recent year for a few key tickers
62,AAPL,2024-01-25T21:30:00Z,Q1 2024,2.18,2.10,119580000000,117970000000,0.08,0.9
63,MSFT,2024-01-30T21:05:00Z,Q2 2024,2.93,2.78,62020000000,61120000000,0.15,1.2
64,GOOG,2024-02-01T21:10:00Z,Q4 2023,1.64,1.59,86310000000,85330000000,0.05,0.7
65,AMZN,2024-02-01T21:15:00Z,Q4 2023,1.00,0.80,169961000000,166000000000,0.20,1.1
66,TSLA,2024-01-24T21:20:00Z,Q4 2023,0.71,0.74,25167000000,25620000000,-0.03,-0.5
67,NVDA,2024-02-21T21:00:00Z,Q4 2024,4.93,4.59,22103000000,20420000000,0.34,2.5
68,JPM,2024-01-12T12:00:00Z,Q4 2023,3.04,3.32,38573000000,39780000000,-0.28,-0.8
69,V,2024-01-25T21:00:00Z,Q1 2024,2.41,2.34,8632000000,8500000000,0.07,0.9
70,JNJ,2024-01-23T11:45:00Z,Q4 2023,2.29,2.28,21396000000,21400000000,0.01,0.0
71,XOM,2024-01-29T12:00:00Z,Q4 2023,2.48,2.21,84342000000,88350000000,0.27,-1.1
