Ticker,CUSIP,ISIN,Country_Of_Incorporation,Currency
FTV,34964C106,US34964C1062,USA,USD
GIS,370334104,US3703341040,USA,USD
GLW,219350105,US2193501051,USA,USD
GM,37045V100,US37045V1008,USA,USD
GPC,372460105,US3724601055,USA,USD
GRMN,H2906T109,CH0114405324,CHE,USD
GWW,384802104,US3848021040,USA,USD
HAS,418056107,US4180561072,USA,USD
HBAN,446150104,US4461501045,USA,USD
HBI,410345102,US4103451021,USA,USD
HLT,43300A203,US43300A2033,USA,USD
HOLX,436440101,US4364401012,USA,USD
HPE,42824C109,US42824C1099,USA,USD
HRB,093671105,US0936711052,USA,USD
HRL,440452100,US4404521001,USA,USD
HSIC,426210105,US4262101054,USA,USD
HST,44107P104,US44107P1049,USA,USD
HSY,427866108,US4278661081,USA,USD
IAC,44891N106,US44891N1063,USA,USD
IDXX,45168V108,US45168V1089,USA,USD
IFF,459506101,US4595061015,USA,USD
ILMN,452327109,US4523271090,USA,USD
INCY,45337C102,US45337C1027,USA,USD
IP,460146103,US4601461035,USA,USD
IPG,460690100,US4606901001,USA,USD
IQV,G47791104,IE00BYX52576,IRL,USD
IRM,46284V101,US46284V1017,USA,USD
IVZ,G491BT108,BMG491BT1088,BMU,USD
JBHT,445658107,US4456581077,USA,USD
JCI,G47791104,IE00BY7QL619,IRL,USD
JKHY,477203104,US4772031040,USA,USD
KEY,493267108,US4932671088,USA,USD
KIM,49446R109,US49446R1095,USA,USD
KLAC,482480100,US4824801009,USA,USD
KMB,494368103,US4943681035,USA,USD
LEN,526057104,US5260571048,USA,USD
LH,505368103,US5053681034,USA,USD
LHX,502431109,US5024311095,USA,USD
LKQ,501889208,US5018892084,USA,USD
LNT,018802108,US0188021085,USA,USD
LUMN,550241103,US5502411034,USA,USD
LVS,517834107,US5178341070,USA,USD
LW,513272104,US5132721045,USA,USD
MAS,574599106,US5745991068,USA,USD
MCHP,595017104,US5950171042,USA,USD
MCK,58155Q103,US58155Q1031,USA,USD
MCO,615369105,US6153691059,USA,USD
MGM,552953101,US5529531015,USA,USD
MHK,608190104,US6081901042,USA,USD
MKC,579780206,US5797802064,USA,USD
MLM,573284106,US5732841060,USA,USD
MMM,88579Y101,US88579Y1010,USA,USD
MNST,61174X109,US61174X1090,USA,USD
MOS,61945C103,US61945C1036,USA,USD
MPWR,609839105,US6098391054,USA,USD
MSCI,55354G100,US55354G1004,USA,USD
MTCH,57665R106,US57665R1068,USA,USD
MTD,592688105,US5926881054,USA,USD
NDAQ,631103108,US6311031081,USA,USD
NI,65473P105,US65473P1057,USA,USD
NTRS,665859104,US6658591044,USA,USD
NUE,670346105,US6703461052,USA,USD
NWL,651229106,US6512291062,USA,USD
NWSA,65249B109,US65249B1098,USA,USD
NWS,65249B208,US65249B2088,USA,USD
O,756109100,US7561091004,USA,USD
OKE,682680103,US6826801036,USA,USD
OMC,681919106,US6819191064,USA,USD
ORLY,68629Y103,US68629Y1038,USA,USD
PCAR,693718108,US6937181088,USA,USD
PEG,744573106,US7445731062,USA,USD
PNR,G6964L107,IE00BLS09M39,IRL,USD
PNW,72147K108,US72147K1088,USA,USD
PPG,693506107,US6935061073,USA,USD
PPL,69351T106,US69351T1060,USA,USD
PRU,744320102,US7443201022,USA,USD
PVH,693656100,US6936561009,USA,USD
PWR,74762E102,US74762E1029,USA,USD
RCL,V7780T103,LR0008862868,LBR,USD
REG,7591EP100,US7591EP1005,USA,USD
RF,7591EP100,US7591EP1005,USA,USD
RHI,770033106,US7700331065,USA,USD
RL,751212101,US7512121010,USA,USD
RMD,761152107,US7611521071,USA,USD
ROK,773903109,US7739031091,USA,USD
ROL,775711104,US7757111045,USA,USD
ROP,776696106,US7766961061,USA,USD
RSG,760759100,US7607591002,USA,USD
SEE,811642103,US8116421036,USA,USD
SJM,832696405,US8326964058,USA,USD
SNA,833034101,US8330341012,USA,USD
SNPS,871607107,US8716071076,USA,USD
SRE,816851109,US8168511090,USA,USD
STE,G8473T100,IE00BF0L3536,IRL,USD
STT,857477103,US8574771031,USA,USD
STX,G7945J104,IE00B58JVZ52,IRL,USD
SWK,854502101,US8545021011,USA,USD
SWKS,83088M102,US83088M1027,USA,USD
SYY,871829107,US8718291078,USA,USD
TAP,60871R209,US60871R2094,USA,USD
TDG,893641100,US8936411003,USA,USD
TER,880770102,US8807701029,USA,USD
TFX,879369106,US8793691069,USA,USD
TROW,74144T108,US74144T1088,USA,USD
TRMB,896239100,US8962391004,USA,USD
TSCO,892356106,US8923561067,USA,USD
TT,G8994E103,IE00BK9ZQ967,IRL,USD
TTWO,874054109,US8740541094,USA,USD
TYL,902252105,US9022521051,USA,USD
ULTA,90384S303,US90384S3031,USA,USD
URI,911363109,US9113631090,USA,USD
VFC,918204108,US9182041080,USA,USD
VRSN,92343E102,US92343E1029,USA,USD
VTR,92276F100,US92276F1003,USA,USD
WAT,941848103,US9418481035,USA,USD
WDC,958102105,US9581021055,USA,USD
WEC,92939U106,US92939U1060,USA,USD
WHR,963320106,US9633201065,USA,USD
WMB,969457100,US9694571004,USA,USD
WRB,084423102,US0844231029,USA,USD
WRK,960123105,US9601231051,USA,USD
WY,962166104,US9621661043,USA,USD
WYNN,983134107,US9831341071,USA,USD
XRAY,24906P109,US24906P1093,USA,USD
XYL,98419M100,US98419M1009,USA,USD
ZBH,98956P102,US98956P1021,USA,USD
SIVB,78486Q101,US78486Q1013,USA,USD
FRC,33616C100,US33616C1009,USA,USD
ATVI,00507V109,US00507V1098,USA,USD
VMW,92856P102,US92856P1021,USA,USD
CS,H17094154,CH0012138530,CHE,USD
DISCA,25470F104,US25470F1049,USA,USD
DISCK,25470F302,US25470F3029,USA,USD
FB,30303M102,US30303M1027,USA,USD
KSU,485170302,US4851703028,USA,USD
MXIM,57772K101,US57772K1016,USA,USD
NLSN,G6518L108,GB00BWFY5505,GBR,USD
NVLS,670008101,US6700081010,USA,USD
PKI,714046109,US7140461093,USA,USD
SPLK,848637104,US8486371045,USA,USD
VIAC,92556H206,US92556H2066,USA,USD
WLTW,G96683101,IE00BDB6Q211,IRL,USD
XLNX,983919101,US9839191015,USA,USD
BRK-A,084670108,US0846701086,USA,USD
^GSPC,INDEXSPX,INDEX_GSPC,GLB,USD
^IXIC,INDEXCOMP,INDEX_IXIC,GLB,USD
^DJI,INDEXINDU,INDEX_DJI,GLB,USD
^RUT,INDEXRUT,INDEX_RUT,GLB,USD
^VIX,INDEXVIX,INDEX_VIX,GLB,USD
^FTSE,INDEXFTSE,INDEX_FTSE,GBR,GBP
^GDAXI,INDEXGDAXI,INDEX_GDAXI,DEU,EUR
^N225,INDEXN225,INDEX_N225,JPN,JPY
^HSI,INDEXHSI,INDEX_HSI,HKG,HKD
AFL,001055102,US0010551028,USA,USD
AJG,363576109,US3635761092,USA,USD
ALK,011659109,US0116591092,USA,USD
ALLE,G0176J109,IE00BFRT3W74,IRL,USD
AOS,831865209,US8318652091,USA,USD
APD,009158106,US0091581068,USA,USD
APH,032095101,US0320951012,USA,USD
ARE,015271109,US0152711090,USA,USD
ATO,049560105,US0495601050,USA,USD
BALL,058498106,US0584981064,USA,USD
BKR,05722G100,US05722G1004,USA,USD
BRO,115236101,US1152361011,USA,USD
CBRE,12504L109,US12504L1098,USA,USD
CDW,125141101,US1251411016,USA,USD
CE,150870103,US1508701034,USA,USD
CEG,21037T109,US21037T1097,USA,USD
CFG,174610105,US1746101054,USA,USD
CHTR,16119P108,US16119P1084,USA,USD
CINF,172062101,US1720621010,USA,USD
CNP,15189T107,US15189T1079,USA,USD
COO,216648402,US2166484020,USA,USD
CPRT,217204106,US2172041062,USA,USD
CTAS,172461103,US1724611033,USA,USD
CTRA,22271C104,US22271C1045,USA,USD
CTSH,192446102,US1924461023,USA,USD
CZR,12769G100,US12769G1004,USA,USD
DAY,23966R106,US23966R1068,USA,USD
DD,26614N102,US26614N1028,USA,USD
DECK,243537107,US2435371073,USA,USD
DFS,254709108,US2547091084,USA,USD
DPZ,25754A201,US25754A2015,USA,USD
DVA,23918K108,US23918K1088,USA,USD
DXCM,252131107,US2521311074,USA,USD
ELV,29272W109,US29272W1099,USA,USD
EPAM,G3198R101,CY0105962113,CYP,USD
EQT,26884L109,US26884L1098,USA,USD
ERIE,29530P102,US29530P1021,USA,USD
ETR,29364U107,US29364U1077,USA,USD
EVRG,30034W106,US30034W1062,USA,USD
FANG,25278X109,US25278X1090,USA,USD
FDS,303075105,US3030751059,USA,USD
FFIV,315616102,US3156161024,USA,USD
FICO,303250104,US3032501047,USA,USD
FLS,343258102,US3432581029,USA,USD
FMC,302491303,US3024913036,USA,USD
FTAI,G3682E101,BMG3682E1011,BMU,USD
GNRC,368736104,US3687361044,USA,USD
HIG,416515104,US4165151048,USA,USD
HII,446413106,US4464131060,USA,USD
HWM,443201108,US4432011082,USA,USD
INVH,46131B100,US46131B1008,USA,USD
IONS,462222100,US4622221004,USA,USD
IR,G47781109,IE00BQRB3T70,IRL,USD
ITT,45073V108,US45073V1089,USA,USD
J,469814107,US4698141078,USA,USD
JNPR,48203R104,US48203R1041,USA,USD
K,487836108,US4878361082,USA,USD
KDP,49271V100,US49271V1008,USA,USD
KEYS,49338L103,US49338L1035,USA,USD
KR,501044101,US5010441013,USA,USD
LDOS,525327102,US5253271029,USA,USD
LLYVK,531229870,US5312298708,USA,USD
LLYVA,531229854,US5312298542,USA,USD
LULU,550021109,US5500211090,USA,USD
LYFT,55087P104,US55087P1049,USA,USD
LYV,538034109,US5380341090,USA,USD
MAA,59522J103,US59522J1034,USA,USD
MASI,574795100,US5747951003,USA,USD
MOH,60855R100,US60855R1005,USA,USD
MRNA,60770K107,US60770K1079,USA,USD
MSI,620076307,US6200763075,USA,USD
MTB,55261F104,US55261F1049,USA,USD
NCLH,G66721104,BMG667211046,BMU,USD
NDSN,655663102,US6556631025,USA,USD
NRG,629377508,US6293775081,USA,USD
NSC,655844108,US6558441084,USA,USD
NTAP,64120L104,US64120L1044,USA,USD
NVR,62944T105,US62944T1051,USA,USD
ODFL,679580103,US6795801035,USA,USD
ON,682189105,US6821891057,USA,USD
OTIS,68902V107,US68902V1070,USA,USD
PARA,69924R208,US69924R2085,USA,USD
PCG,69331C108,US69331C1080,USA,USD
PH,701094104,US7010941042,USA,USD
PKG,695156109,US6951561094,USA,USD
POOL,73278L105,US73278L1052,USA,USD
POWI,739276103,US7392761034,USA,USD
PTC,69370C100,US69370C1009,USA,USD
QRVO,74736K101,US74736K1016,USA,USD
RVTY,761369105,US7613691058,USA,USD
SBAC,78410G104,US78410G1040,USA,USD
SEDG,83417M104,US83417M1045,USA,USD
SIRI,82968B103,US82968B1035,USA,USD
STLD,858119100,US8581191009,USA,USD
TAP,60871R209,US60871R2094,USA,USD
TDY,879360105,US8793601050,USA,USD
TECH,088742105,US0887421054,USA,USD
TEL,G87572163,CH0102993182,CHE,USD
TER,880770102,US8807701029,USA,USD
TRGP,87612G101,US87612G1013,USA,USD
TRU,896945201,US8969452015,USA,USD
TSN,902494103,US9024941034,USA,USD
TXT,883203101,US8832031012,USA,USD
UDR,902653104,US9026531048,USA,USD
UHS,913903100,US9139031002,USA,USD
VEEV,922475108,US9224751084,USA,USD
VTRS,92556V106,US92556V1061,USA,USD
WAB,929740108,US9297401088,USA,USD
WBD,934423104,US9344231041,USA,USD
WST,957104103,US9571041039,USA,USD
GDDY,380237107,US3802371076,USA,USD
CBOE,12503M108,US12503M1080,USA,USD
ALB,012653101,US0126531013,USA,USD
ALGN,016255108,US0162551086,USA,USD
ANET,040413106,US0404131064,USA,USD
ANSS,03662Q105,US03662Q1058,USA,USD
AEP,025537101,US0255371017,USA,USD
APTV,G6095L109,JE00B783TY65,JEY,USD
AZPN,045327103,US0453271034,USA,USD
BF-A,115637100,US1156371005,USA,USD
BIO,090572207,US0905722072,USA,USD
BR,11133T103,US11133T1034,USA,USD
CARR,14448C104,US14448C1045,USA,USD
CDAY,15677J108,US15677J1088,USA,USD
CHRW,126402106,US1264021066,USA,USD
COR,007900100,US0079001007,USA,USD
CPT,13369C102,US13369C1027,USA,USD
CRL,159864107,US1598641074,USA,USD
CTLT,148806102,US1488061029,USA,USD
DVN,25179M103,US25179M1036,USA,USD
EG,G3192Q103,BMG3192Q1033,BMU,USD
EMN,277432100,US2774321002,USA,USD
ENPH,29355A107,US29355A1079,USA,USD
EPD,293792107,US2937921078,USA,USD
EXAS,30063P105,US30063P1057,USA,USD
FCNCA,33540L108,US33540L1089,USA,USD
FE,337932107,US3379321074,USA,USD
FSLR,336433107,US3364331070,USA,USD
GEHC,36166B108,US36166B1089,USA,USD
GL,37959E102,US37959E1022,USA,USD
HUBB,443510607,US4435106071,USA,USD
IEX,451107106,US4511071064,USA,USD
IT,366651107,US3666511076,USA,USD
JBL,466313103,US4663131038,USA,USD
JBLU,477143101,US4771431016,USA,USD
INGR,457187102,US4571871028,USA,USD
AXON,05464C101,US05464C1018,USA,USD
AMCR,Q02864109,AU00000AMCOR3,AUS,USD
GEN,372379101,US3723791019,USA,USD
CL=F,MOCKCLFUT,XYMOCKCLFUT1,GLB,USD
GC=F,MOCKGCFUT,XYMOCKGCFUT2,GLB,USD
SI=F,MOCKSIFUT,XYMOCKSIFUT3,GLB,USD
HG=F,MOCKHGFUT,XYMOCKHGFUT4,GLB,USD
NG=F,MOCKNGFUT,XYMOCKNGFUT5,GLB,USD
ZC=F,MOCKZCFUT,XYMOCKZCFUT6,GLB,USD
ZS=F,MOCKZSFUT,XYMOCKZSFUT7,GLB,USD
ZW=F,MOCKZWFUT,XYMOCKZWFUT8,GLB,USD
EURUSD=X,MOCKEURUSD,XYMOCKEURUSD,FX,USD
USDJPY=X,MOCKUSDJPY,XYMOCKUSDJPY,FX,JPY
GBPUSD=X,MOCKGBPUSD,XYMOCKGBPUSD,FX,USD
USDCHF=X,MOCKUSDCHF,XYMOCKUSDCHF,FX,CHF
AUDUSD=X,MOCKAUDUSD,XYMOCKAUDUSD,FX,USD
USDCAD=X,MOCKUSDCAD,XYMOCKUSDCAD,FX,CAD
ZN=F,MOCKZNFUT,XYMOCKZNFUT9,GLB,USD
ZB=F,MOCKZBFUT,XYMOCKZBFUTA,GLB,USD
ZF=F,MOCKZFFUT,XYMOCKZFFUTB,GLB,USD
ZT=F,MOCKZTFUT,XYMOCKZTFUTC,GLB,USD
ELV,29272W109,US29272W1099,USA,USD
FBIN,34964C106,US34964C1062,USA,USD
CP,13645T100,CA13645T1003,CAN,USD
UBS,H86661100,CH0244767585,CHE,USD
CCI,22822V101,US22822V1017,USA,USD
AVB,053484101,US0534841012,USA,USD
VNO,929042109,US9290421091,USA,USD
SLG,78440X101,US78440X1018,USA,USD
DEA,277175108,US2771751085,USA,USD
FIGMA,MOCKFIGM1,XYMOCKFIGM12,USA,USD
A,00846U101,US00846U1016,USA,USD
AIZ,001525103,US0015251030,USA,USD
AKAM,00971T101,US00971T1016,USA,USD
